,Unnamed: 0,stop_name,next_stop_name,trip_count,frequency,total_passengers,totalTripTime,distance,OriginLat,OriginLon,DestLat,DestLon,stop_city,next_stop_city,stop_city_distance,next_stop_city_distance,capacity
1072,1072,Schwerin Hbf,Ludwigslust,6,1143.0,1236,229.0,36.73488316135624,53.635628,11.407445,53.335007,11.494151,Luebeck,Luebeck,49.20635145585542,73.32499193750809,4056
1073,1073,Schwerin Hbf,Rostock Hbf,10,1612.0,2060,262.0,87.36610937718075,53.63563,11.407544,54.07861,12.130176,Luebeck,Laage,49.21229930833745,20.32562823204286,6760
1074,1074,Schwäbisch Gmünd,Aalen Hbf,11,3068.0,2266,126.0,26.02075236575692,48.801086,9.788097,48.84168,10.09613,Stuttgart,Stuttgart,43.432921342820485,66.4431541995616,7436
1075,1075,Schwäbisch Gmünd,Schorndorf,6,1196.0,1236,384.0,21.516854690871995,48.80097,9.787504,48.80708,9.52578,Stuttgart,Stuttgart,43.3874882778067,25.865150946836838,4056
1076,1076,Schwäbisch Gmünd,Stuttgart Hbf,6,2080.0,1236,175.0,50.35491696431188,48.80097,9.787504,48.784748,9.183217,Stuttgart,Stuttgart,43.3874882778067,10.925799202652843,4056
1077,1077,Schönefeld(bei Berlin),Berlin Gesundbrunnen,1,0.0,206,231.0,25.63997437858288,52.39115,13.512816,52.548573,13.390519,Berlin,Berlin,1.404931396927286,20.79247284924179,676
1078,1078,Siegburg/Bonn,Düsseldorf Hbf,1,104.0,206,310.0,86.99099984299924,50.79396,7.20262,51.219433,6.795027,Cologne,Duesseldorf,9.046679937424303,8.040851098940184,676
1079,1079,Siegburg/Bonn,Frankfurt(M) Flughafen Fernbf,83,8944.0,17098,309.0,210.26228238624267,50.79388,7.202485,50.053165,8.570185,Cologne,Frankfurt,9.050127471532871,2.2060714000421546,56108
1080,1080,Siegburg/Bonn,Frankfurt(M) Flughafen Regionalbf,1,0.0,206,130.0,212.2917588939684,50.79388,7.202485,50.05122,8.571251,Cologne,Frankfurt,9.050127471532871,1.990191624017044,676
1081,1081,Siegburg/Bonn,Köln Hbf,80,7548.0,16480,77.0,42.25453908847529,50.79396,7.20262,50.943497,6.958943,Cologne,Cologne,9.046679937424303,15.545679544373188,54080
1082,1082,Siegburg/Bonn,Köln Messe/Deutz,4,676.0,824,82.0,48.544236110781775,50.79396,7.20262,50.940876,6.975921,Cologne,Cologne,9.046679937424303,14.396982959732004,2704
1083,1083,Siegburg/Bonn,Köln Messe/Deutz Gl.11-12,56,8990.0,11536,322.0,48.27502691278104,50.79396,7.20262,50.9416,6.973954,Cologne,Cologne,9.046679937424303,14.556356007378396,37856
