,stop_name,next_stop_name,Unnamed: 0,trip_id,stop_id,stop_sequence,route_short_name,next_stop_id,totalTripTime,osm_distance,OriginLat,OriginLon,DestLat,DestLon
61,Baden-Baden,Karlsruhe Hbf,35903,7405,563953,3,ICE 20,482437.0,365.0,28.98046130497089,48.79032,8.190731,48.993675,8.401116
62,Baden-Baden,Offenburg,3691,2771,55182,13,ICE 12,265599.0,488.0,39.91969555163772,48.790478,8.190417,48.476475,7.946723
63,"Bahnhof, Engen",Singen(Hohentwiel),39787,5139,361072,10,IC 87,560019.0,98.0,14.310965577573628,47.85621,8.772516,47.75892,8.841381
64,"Bahnhof, Friedberg (Hessen)",Frankfurt(Main)Hbf,37302,38835,444166,20,ICE 26,129296.0,468.0,33.59683719547543,50.33204,8.760561,50.10652,8.662645
65,"Bahnhof, Friedberg (Hessen)",Frankfurt(Main)West,36902,12659,444166,7,ICE 26,38436.0,181.0,30.25376384949328,50.33204,8.760561,50.11939,8.638952
66,"Bahnhof, Friedberg (Hessen)",Gießen,32190,9459,444166,1,IC 26,149948.0,262.0,32.91707710273548,50.33204,8.760561,50.579884,8.663799
67,Bamberg,Coburg,34374,76763,378280,2,ICE 28,33094.0,326.0,44.97602680676421,49.900574,10.900122,50.263447,10.957201
68,Bamberg,Erlangen,22238,71196,590855,10,ICE 18,173118.0,366.0,38.69971322416879,49.900597,10.899735,49.596157,11.001488
69,Bamberg,Hauptbahnhof,34254,5768,378280,3,ICE 28,356159.0,286.0,128.3188863494855,49.900574,10.900122,50.97211,11.037261
70,Bamberg,Lichtenfels Bahnhof,38919,11735,378280,7,IC 17,397048.0,426.0,32.02448385238354,49.900574,10.900122,50.146103,11.06039
71,Bamberg,Nürnberg Hbf,22004,38055,590855,11,ICE 18,152972.0,463.0,62.31758868375399,49.900597,10.899735,49.445545,11.082228
72,Bebra,Eisenach Hbf,18991,605324,613730,12,IC 51,456782.0,301.0,45.0279614122691,50.969566,9.797788,50.975952,10.331229
73,Bebra,Kassel-Wilhelmshöhe,18937,260007,613730,9,IC 51,622425.0,158.0,54.13146110836984,50.969566,9.797788,51.312435,9.448181
